gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
AL713923.1,0.0,,,,,,
AL713965.1,0.0,,,,,,
AL713998.1,0.0,,,,,,
AL713999.1,0.0,,,,,,
AL731533.1,0.0,,,,,,
AL731533.2,-19.752674,,,,,,
AL731537.1,0.14297408,,,,,,
AL731537.2,0.0,,,,,,
AL731544.1,0.0,,,,,,
AL731555.1,0.0,,,,,,
AL731557.1,18.318993,,,,,,
AL731563.2,0.0,,,,,,
AL731563.3,-0.3007826,,,,,,
AL731566.1,-1.60441,,,,,,
AL731566.2,-19.13455,,,,,,
AL731567.1,0.0,,,,,,
AL731569.1,0.45559895,,,,,,
AL731571.1,0.47143066,,,,,,
AL731574.1,0.0,,,,,,
AL731575.1,0.0,,,,,,
AL731577.1,0.3598219,,,,,,
AL731661.1,1.0266799,,,,,,
AL731661.2,19.522339,,,,,,
AL731684.1,0.0,,,,,,
AL731684.2,0.0,,,,,,
AL732292.2,1.6833254,,,,,,
AL732314.4,-0.13547459,,,,,,
AL732314.6,-16.325893,,,,,,
AL732323.1,0.0,,,,,,
AL732372.1,0.0,,,,,,
AL732437.1,0.0,,,,,,
AL772155.1,0.0,,,,,,
AL772202.1,0.0,,,,,,
AL772284.2,-17.085918,,,,,,
AL772337.1,0.0,,,,,,
AL772337.2,0.0,,,,,,
AL772363.1,0.0,,,,,,
AL773545.1,0.0,,,,,,
AL805961.1,0.0,,,,,,
AL805961.2,-17.23226,,,,,,
AL807740.1,0.0,,,,,,
AL807752.2,0.0,,,,,,
AL807752.3,0.0,,,,,,
AL807752.4,0.0,,,,,,
AL807752.6,0.0,,,,,,
AL807752.7,-18.461512,,,,,,
AL807761.3,0.0,,,,,,
AL807761.4,0.0,,,,,,
AL831711.1,0.0,,,,,,
AL831784.1,0.0,,,,,,
AL844170.1,0.0,,,,,,
AL844175.1,0.0,,,,,,
AL844908.1,0.0,,,,,,
AL845311.1,0.0,,,,,,
AL845331.2,0.0,,,,,,
AL845472.1,0.0,,,,,,
AL845552.2,0.0,,,,,,
AL928596.1,1.4832317,,,,,,
AL928654.1,0.29011062,,,,,,
AL928654.2,-16.244726,,,,,,
AL928654.3,0.78986907,,,,,,
AL928742.1,0.0,,,,,,
AL928921.1,0.0,,,,,,
AL928921.2,0.22292311,,,,,,
AL928970.1,0.45556882,,,,,,
AL929288.1,0.0,,,,,,
AL929472.2,-17.345154,,,,,,
AL929472.3,19.759405,,,,,,
AL929554.1,0.0,,,,,,
AL929601.1,0.0,,,,,,
AL929601.2,0.0,,,,,,
AL929601.3,0.0,,,,,,
AL935212.1,0.0,,,,,,
AL935212.2,0.0,,,,,,
AL953897.1,-17.425196,,,,,,
AL954642.1,0.0,,,,,,
AL954650.1,0.0,,,,,,
ALAD,-0.069809586,,,,,,
ALAS1,-0.7489881,,,,,,
ALAS2,0.0,,,,,,
ALB,-19.379513,,,,,,
ALCAM,-0.08720316,,,,,,
ALDH16A1,-0.75253755,,,,,,
ALDH18A1,1.9882836,2.2264552,1.7478735,0.47858167,1.9422936,2.6251528,2.4522371
ALDH1A1,-3.465611,,,0.5917335,,,
ALDH1A2,-2.444928,,,,,,
ALDH1A3,2.2036734,2.7358785,,1.621168,,,4.334531
ALDH1B1,2.5363874,3.442847,,1.514172,1.9279325,2.4871352,2.3783705
ALDH1L1,-17.786572,,,,,,
ALDH1L1-AS1,-16.527182,,,,,,
ALDH1L1-AS2,0.0,,,,,,
ALDH1L2,1.8369268,1.9755479,1.5331496,0.44239825,1.7851967,2.2478657,2.2042792
ALDH2,-2.748119,,,,,,
ALDH3A1,-4.9057226,,,,,,
ALDH3A2,-2.0925162,,,,,,
ALDH3B1,-0.9010256,,,,,,
ALDH3B2,1.1078148,,,,,,
ALDH4A1,0.04996154,,,,,,
ALDH5A1,-0.2546764,,,,,,
ALDH6A1,-0.8573996,,,,,,
ALDH7A1,-0.03046861,0.3952369,0.642587,,,,
ALDH8A1,-1.2067755,,,,,,
ALDH9A1,-0.16043118,,0.49241248,,,,
ALDOA,0.41392452,,,,0.9267406,,0.9937963
ALDOB,0.0,,,,,,
ALDOC,-2.0719242,,,,,,
ALG1,0.8862498,,,,1.728332,1.5176915,1.9911591
ALG10,-0.38235065,,,,,,
ALG10B,0.5728422,,,,,,
ALG11,0.7712864,,,,,,
ALG12,0.5392182,,,,,,
ALG13,-0.3746257,,,,,,
ALG13-AS1,0.0,,,,,,
ALG14,0.66981936,,0.9578726,,,0.79613745,
ALG1L,-2.4617505,,,,,,
ALG1L2,0.45620385,,,,,,
ALG2,0.7712893,0.47706237,,,0.9877383,,1.1945105
ALG3,1.0668476,0.7335794,1.4564533,,1.9667003,1.74478,2.1679986
ALG5,0.6387484,0.19230261,1.2528983,,,1.3089356,0.9415585
ALG6,-0.17017779,,,,,,
ALG8,0.5549951,,,,,1.1206551,
ALG9,0.05066698,,,,,,
ALK,0.10364384,,,,,,
ALKAL1,1.2059361,,,,,,
ALKAL2,-7.4575095,,,,,,
ALKBH1,-0.1074864,,,,,,
ALKBH2,-0.2644737,,,,,,
ALKBH3,0.020200595,,,,,1.0266978,
ALKBH3-AS1,-17.21066,,,,,,
ALKBH4,-0.027575297,,,,,,
ALKBH5,0.12635647,,,0.35687426,,,
ALKBH6,0.14515355,,,,,,
ALKBH7,0.6727839,0.46052855,1.4131775,,1.177318,1.274412,1.4962162
ALKBH8,0.30368003,,,,,,
ALLC,-1.5521034,,,,,,
ALMS1,0.7527171,,,,,,
ALOX12,-16.555832,,,,,,
ALOX12-AS1,-0.021622036,,,,,,
ALOX12B,-16.078657,,,,,,
ALOX15,-19.13414,,,,,,
ALOX15B,1.8158135,,,,,,
ALOX5,1.2761447,,,,,,
ALOX5AP,3.029965,,,,,,
ALOXE3,-18.912527,,,,,,
ALPG,0.0,,,,,,
ALPI,0.0,,,,,,
ALPK1,-1.1536779,,,,,,
ALPK2,1.2973741,3.363844,2.3225904,1.0412537,,4.283447,3.0514965
ALPK3,-0.8407755,,,,,,
ALPL,3.7412086,,,,,4.5197687,
ALPP,-18.296495,,,,,,
ALS2,0.5357055,,,,,,
ALS2CL,-4.0489497,,,,,,
ALS2CR12,0.6324054,,,,,,
ALX1,-21.15151,,,,,,
ALX3,-1.501887,,,,,,
ALX4,-0.93976593,,,,,,
ALYREF,0.50573164,0.6648954,0.96589726,,2.7578979,,2.731466
AMACR,0.9255799,,,,,1.3107806,
AMBN,0.0,,,,,,
AMBP,1.3261534,,,,,,
AMBRA1,1.0429722,,,,,,
AMD1,-1.2662395,,,,,,
AMDHD1,-20.248383,,,,,,
AMDHD2,0.5425606,,,0.37393978,1.2777786,1.1790237,
AMELX,-16.05248,,,,,,
AMELY,0.0,,,,,,
AMER1,-0.013624334,,,,,,
AMER2,-18.97568,,,,,,
AMER3,0.0,,,,,,
AMFR,0.048246894,,,0.6472311,,,
AMH,-0.4517184,,,,,,
AMHR2,-18.456123,,,,,,
AMIGO1,-23.060308,,,,,,
AMIGO2,-1.9985844,,,,,,
AMIGO3,-18.664396,,,,,,
AMMECR1,0.25642815,,,,,,
AMMECR1L,-0.30425203,,,,,,
AMN,-2.3529434,,,,,,
AMN1,0.016968807,,,1.2516253,,,
AMOT,-1.0568188,,,,,,
AMOTL1,-0.2562507,,,,,,
AMOTL2,-0.35876217,,,,,,
AMPD1,0.120473094,,,,,,
AMPD2,1.3294121,1.5776473,,0.5672748,1.2799107,0.9312484,1.5363274
AMPD3,-0.7643712,,,,,,
AMPH,2.7614527,2.2144122,,0.55637836,,2.6315591,
AMT,-0.014640734,,,,,,
AMTN,0.0,,,,,,
AMY1A,0.0,,,,,,
AMY1B,0.0,,,,,,
AMY1C,0.0,,,,,,
AMY2A,-16.392742,,,,,,
AMY2B,-1.1323746,,,,,,
AMZ1,-2.3918872,,,,,,
AMZ2,0.979649,,,,,,
ANAPC1,-0.0726772,,,0.40941322,,,
ANAPC10,0.19021311,,,,,0.70839363,
ANAPC11,0.81441027,0.59140396,1.4963337,,1.4666096,1.5829169,1.6355554
ANAPC13,0.19706745,0.43072087,0.6043363,,,,
ANAPC15,1.4900596,0.68968976,1.7571576,,2.3400567,2.1213849,2.5515816
ANAPC16,0.20300761,,0.43290794,,,,
ANAPC2,0.6709848,,,,,,
ANAPC4,0.23811841,,,,,,
ANAPC5,0.9024577,,0.5147653,,,0.8312461,
ANAPC7,0.44462723,,,,,,
ANG,-1.5463612,,,,,,
ANGEL1,-0.113910265,,,,,,
ANGEL2,-0.08721604,,,,,,
ANGPT1,-1.0623752,,,1.439003,,,
ANGPT2,1.297744,0.6420829,,0.27135745,,,
ANGPT4,-2.7311275,,,,,,
ANGPTL1,-1.147181,,,0.11646286,,,
ANGPTL2,1.6651707,1.5106578,0.9038966,0.60676116,,1.5320736,
ANGPTL3,0.0,,,,,,
ANGPTL4,-3.3682141,,,,1.4644984,,1.6837308
ANGPTL5,-5.234169,,,,,,
ANGPTL6,3.2601597,,,,,,
ANGPTL7,-1.1641885,,,,,,
ANGPTL8,0.49472445,,,,,,
ANHX,0.0,,,,,,
ANK1,-3.8988276,,,,,,
ANK2,-1.4356356,,,,,,
ANK3,-0.99048334,,,,,,
ANKAR,-1.1330956,,,,,,
ANKDD1A,-1.198944,,,0.6099748,,,
ANKDD1B,2.652165,,,,,,
ANKEF1,3.1764858,,,,,,
ANKFN1,-4.9154115,,,,,,
ANKFY1,0.8541015,,,,,,
ANKH,0.3891279,,,,,,
ANKHD1,-0.043151475,,,,,,
ANKHD1-EIF4EBP3,0.6616441,,,,,,
ANKIB1,0.5862721,,,,,,
ANKK1,-17.899,,,,,,
ANKLE1,0.20592283,,,,,,
ANKLE2,1.0467026,,,,1.3045079,,1.5577153
ANKMY1,0.71942294,,,,,,
ANKMY2,0.4867959,,,,,,
ANKRA2,0.002427694,,,,,,
ANKRD1,-18.86936,,,,,,
ANKRD10,-0.1349348,,,,,,
ANKRD11,0.11197761,,,,,,
ANKRD12,-0.5969798,,,,,,
ANKRD13A,1.001937,,,,1.278723,,1.4842982
ANKRD13B,-0.058589052,,,,,,
ANKRD13C,0.38294962,,,,,,
ANKRD13D,0.89520794,,,,,,
ANKRD16,0.0940962,,,,,,
ANKRD17,0.4581213,,,,,,
ANKRD18A,0.0,,,,,,
ANKRD18B,-17.334257,,,,,,
ANKRD2,1.3575026,,,,,,
ANKRD20A1,-2.3277128,,,,,,
ANKRD20A2,0.0,,,,,,
ANKRD20A3,1.5788403,,,,,,
ANKRD20A4,-1.516811,,,,,,
ANKRD20A8P,0.0,,,,,,
ANKRD22,-1.1574497,,,,,,
ANKRD23,-2.0892508,,,,,,
ANKRD24,0.95832115,,,,,,
ANKRD26,-0.058862094,,,,,,
ANKRD27,0.567469,,,,,,
ANKRD28,-0.23253377,,,0.45789424,,,
ANKRD29,-0.89379144,,,,,,
ANKRD30A,0.0,,,,,,
ANKRD30B,0.072626986,,,,,,
ANKRD30BL,19.799305,,,,,,
ANKRD31,0.60372007,,,,,,
ANKRD33,-17.382101,,,,,,
ANKRD33B,-1.8167506,,,,,,
ANKRD33B-AS1,-16.353308,,,,,,
ANKRD34A,0.35385078,,,,,,
ANKRD34B,-17.731657,,,,,,
ANKRD34C,0.0,,,,,,
ANKRD34C-AS1,0.0,,,,,,
ANKRD35,-2.2268693,,,,,,
ANKRD36,0.31734,,,0.4566422,,,
ANKRD36B,0.38113046,,,0.45040944,,,
ANKRD36C,0.8046151,,,0.8243741,,,
ANKRD37,-1.006042,,,,,,
ANKRD39,0.15647401,,,,,,
ANKRD40,-0.3060398,,,,,,
ANKRD42,-0.6927539,,,,,,
ANKRD44,0.2043967,,,0.42196175,,,
ANKRD45,-1.8582021,,,,,,
ANKRD46,-0.23512864,,,,,,
ANKRD49,0.4709565,,,,,,
ANKRD50,0.73740137,,,,,,
ANKRD52,0.7794636,,,,,,
ANKRD53,-0.080400586,,,,,,
ANKRD54,0.40480927,,,,,,
ANKRD55,-18.80548,,,,,,
ANKRD6,0.059485402,,,,,,
ANKRD60,-16.943605,,,,,,
ANKRD61,-17.220827,,,,,,
ANKRD62,-19.642363,,,,,,
ANKRD63,0.0,,,,,,
ANKRD65,-0.7293815,,,0.3282942,,,
ANKRD66,0.0,,,,,,
ANKRD7,-0.9729675,,,,,,
ANKRD9,-0.22619696,,,,1.9402761,,
ANKS1A,-1.16872,,,,,,
ANKS1B,-0.10961297,,,,,,
ANKS3,0.99951124,,,,,1.085929,
ANKS4B,-2.303216,,,,,,
ANKS6,0.59717137,,,,,,
ANKUB1,19.991995,,,,,,
ANKZF1,0.32670286,,,,,,
ANLN,-0.24171379,,,,4.719911,,
ANO1,4.5148954,1.8869283,,0.9498005,,,
ANO1-AS1,0.0,,,,,,
ANO10,0.6895518,,,,0.9611954,0.8967918,1.1915138
ANO2,-2.3713226,,,,,,
ANO3,2.0448124,,,,,,
ANO4,1.1426142,,,22.18983,,,
ANO5,-17.436064,,,,,,
ANO6,0.25685722,,,,,,
ANO7,1.564536,,,,,,
ANO8,0.10839225,,,,,,
ANO9,-1.1432694,,,,,,
ANOS1,2.97328,2.57262,,1.2969341,,,
ANP32A,0.22143833,,,,,,
ANP32B,-0.08695019,,,,0.8398748,,0.79742473
ANP32D,-15.977305,,,,,,
ANP32E,-0.71526176,,,,,,
ANPEP,-1.5487642,,,,,,
ANTKMT,,,,,2.611256,,2.7365885
ANTXR1,1.0283325,0.16684538,0.2399194,,,,
ANTXR2,-0.6334255,,,,,,
ANTXRL,-15.625123,,,,,,
ANXA1,-0.25105688,,,,,,
ANXA10,0.0,,,,,,
ANXA11,0.35488158,,0.45383677,,,,
ANXA13,1.0900992,,,,,,
ANXA2,-0.36295533,,,,0.56221354,0.5189614,0.62028843
ANXA2R,0.04755944,,,0.48223752,,,
ANXA3,-0.86291087,,,,,,
ANXA4,-0.47332692,,,,,,
ANXA5,0.2445265,,1.0269632,,,0.22885747,
ANXA6,0.25475112,0.24287088,0.9424604,,1.0640823,0.6977884,1.2267349
ANXA7,0.11116616,,0.4745671,,,,
ANXA8,-19.050705,,,,,,
ANXA8L1,1.2299677,,,,,,
ANXA9,-20.212395,,,,,,
AOAH,1.451813,,,,,,
AOC1,-16.611074,,,,,,
AOC2,-4.271476,,,,,,
AOC3,-0.37559935,,,,,,
AOX1,-5.901502,,,,,,
AP000146.1,0.0,,,,,,
AP000221.1,0.0,,,,,,
AP000223.1,0.6600093,,,,,,
AP000229.1,-17.274145,,,,,,
AP000233.1,0.0,,,,,,
AP000233.2,0.0,,,,,,
AP000235.1,0.0,,,,,,
AP000238.1,1.3331501,,,,,,
AP000251.1,19.749784,,,,,,
AP000253.1,-0.6003823,,,,,,
AP000254.1,-0.0015338245,,,,,,
AP000255.1,0.58637136,,,,,,
AP000265.1,0.8786501,,,,,,
AP000266.1,0.0,,,,,,
AP000275.2,0.0,,,,,,
AP000281.2,-16.506712,,,,,,
AP000282.1,0.0,,,,,,
AP000289.1,0.0,,,,,,
AP000290.1,0.0,,,,,,
AP000295.1,0.0,,,,,,
AP000302.1,0.0,,,,,,
AP000311.1,-18.222422,,,,,,
AP000317.1,2.1746213,,,,,,
AP000320.1,18.950127,,,,,,
AP000322.1,-16.846262,,,,,,
AP000322.2,-15.810952,,,,,,
AP000345.1,0.0,,,,,,
AP000345.2,-1.4345957,,,,,,
AP000350.4,-18.13906,,,,,,
AP000350.5,0.31813526,,,,,,
AP000350.6,2.949283,,,,,,
AP000350.7,-17.71335,,,,,,
AP000355.1,0.339892,,,,,,
AP000356.2,-18.669277,,,,,,
AP000357.2,0.0,,,,,,
AP000365.1,-16.572006,,,,,,
AP000402.1,0.0,,,,,,
AP000424.1,0.0,,,,,,
AP000424.2,0.0,,,,,,
AP000426.1,0.0,,,,,,
AP000431.1,0.0,,,,,,
AP000431.2,0.0,,,,,,
AP000432.1,-16.907864,,,,,,
AP000438.1,-3.1363328,,,,,,
AP000439.1,3.765777,,,,,,
AP000439.2,-17.236998,,,,,,
AP000439.3,0.0,,,,,,
AP000439.4,0.0,,,,,,
AP000442.1,-2.3529906,,,,,,
AP000442.2,-0.8554637,,,,,,
AP000446.1,-19.39938,,,,,,
AP000459.1,0.0,,,,,,
AP000459.2,0.0,,,,,,
AP000462.1,0.0,,,,,,
AP000462.3,3.6012025,,,,,,
AP000470.1,0.0,,,,,,
AP000472.1,0.0,,,,,,
AP000474.1,0.0,,,,,,
AP000477.1,0.0,,,,,,
AP000477.2,0.0,,,,,,
AP000487.1,-1.7273611,,,,,,
AP000487.2,18.53548,,,,,,
AP000527.1,0.0,,,,,,
AP000532.2,0.0,,,,,,
AP000534.1,0.0,,,,,,
AP000542.2,0.0,,,,,,
AP000542.3,0.0,,,,,,
AP000547.2,0.0,,,,,,
AP000547.3,0.76470023,,,,,,
AP000550.1,-2.1083565,,,,,,
AP000550.2,0.0,,,,,,
AP000552.1,0.0,,,,,,
AP000552.3,0.0,,,,,,
AP000553.3,-18.207243,,,,,,
AP000561.1,0.0,,,,,,
AP000569.1,0.0,,,,,,
AP000593.3,-19.805292,,,,,,
AP000640.1,-0.733971,,,,,,
AP000646.1,18.201801,,,,,,
AP000654.1,0.9484169,,,,,,
AP000679.1,-16.909595,,,,,,
AP000688.2,-19.474594,,,,,,
AP000688.3,0.0,,,,,,
AP000688.4,0.0,,,,,,
AP000692.2,-1.67986,,,,,,
AP000695.1,4.3016105,,,,,,
AP000695.2,3.343592,,,,,,
AP000696.1,-16.248465,,,,,,
AP000697.1,0.0,,,,,,
AP000704.1,0.24028622,,,,,,
AP000721.1,0.0,,,,,,
AP000721.2,0.0,,,,,,
AP000722.1,0.0,,,,,,
AP000753.1,0.0,,,,,,
AP000753.2,0.0,,,,,,
AP000755.1,-16.708181,,,,,,
AP000755.2,-16.374977,,,,,,
AP000756.1,0.0,,,,,,
AP000757.1,-18.048323,,,,,,
AP000757.2,0.0,,,,,,
AP000759.1,-1.0229126,,,,,,
AP000763.3,-1.2417825,,,,,,
AP000763.4,-17.74971,,,,,,
AP000766.1,-0.7155955,,,,,,
AP000769.2,-1.9702328,,,,,,
AP000769.3,0.0,,,,,,
AP000770.1,0.0,,,,,,
AP000777.1,-16.68543,,,,,,
AP000777.2,0.0,,,,,,
AP000777.3,-18.292683,,,,,,
AP000781.1,-18.948877,,,,,,
AP000781.2,0.0,,,,,,
AP000785.1,0.0,,,,,,
AP000785.2,-18.241558,,,,,,
AP000786.1,1.3855529,,,,,,
AP000787.1,0.42067847,,,,,,
AP000790.2,0.0,,,,,,
AP000790.3,0.0,,,,,,
AP000790.4,0.0,,,,,,
AP000793.1,0.0,,,,,,
AP000797.3,0.0,,,,,,
AP000802.1,1.8086063,,,,,,
AP000808.1,-16.863287,,,,,,
AP000808.2,0.0,,,,,,
AP000812.1,0.0,,,,,,
AP000812.4,0.0,,,,,,
AP000812.5,0.0,,,,,,
AP000820.1,0.0,,,,,,
AP000821.1,-16.443697,,,,,,
AP000842.1,-0.041261617,,,,,,
AP000842.2,-1.8571814,,,,,,
AP000842.3,1.3752571,,,,,,
AP000844.1,0.0,,,,,,
AP000844.2,0.0,,,,,,
AP000845.1,-0.21861327,,,,,,
AP000851.1,-1.120227,,,,,,
AP000851.2,-21.320446,,,,,,
AP000855.1,0.0,,,,,,
AP000857.2,0.0,,,,,,
AP000866.1,-0.29214483,,,,,,
AP000866.2,0.28247198,,,,,,
AP000866.5,0.0,,,,,,
AP000873.3,0.0,,,,,,
AP000879.1,-16.470707,,,,,,
AP000880.1,-2.550309,,,,,,
AP000892.1,0.0,,,,,,
AP000894.3,0.0,,,,,,
AP000894.4,-1.7465694,,,,,,
AP000897.2,0.0,,,,,,
AP000904.1,0.0,,,,,,
AP000911.1,-1.2209464,,,3.1585715,,,
AP000911.2,-3.2352183,,,,,,
AP000911.3,0.0,,,,,,
AP000915.1,-1.0864741,,,,,,
AP000919.2,-20.883852,,,,,,
AP000919.3,-0.14648871,,,,,,
AP000919.4,-0.87435615,,,,,,
AP000924.1,0.0,,,,,,
AP000936.1,-17.41708,,,,,,
AP000941.1,-0.8767856,,,,,,
AP000942.2,-18.005642,,,,,,
AP000943.1,0.0,,,,,,
AP000943.2,-17.548946,,,,,,
AP000943.3,-17.23226,,,,,,
AP000944.1,0.0,,,,,,
AP000959.1,0.0,,,,,,
AP000962.1,1.630697,,,,,,
AP000977.1,-17.111383,,,,,,
AP000997.1,0.0,,,,,,
AP000997.2,0.0,,,,,,
AP001001.1,0.0,,,,,,
AP001001.2,0.0,,,,,,
AP001005.3,0.0,,,,,,
AP001007.1,0.0,,,,,,
AP001007.2,0.0,,,,,,
AP001010.1,0.0,,,,,,
AP001011.1,0.0,,,,,,
AP001020.1,17.803207,,,,,,
AP001020.3,-0.13426144,,,,,,
AP001021.1,0.0,,,,,,
AP001021.2,0.0,,,,,,
AP001025.1,0.0,,,,,,
AP001029.1,0.0,,,,,,
AP001029.2,1.2973763,,,,,,
AP001033.1,1.4256594,,,,,,
AP001042.1,0.0,,,,,,
AP001043.1,-3.4999046,,,,,,
AP001043.2,0.0,,,,,,
AP001046.1,-19.840118,,,,,,
AP001048.1,0.0,,,,,,
AP001056.1,0.0,,,,,,
AP001056.2,-2.0020778,,,,,,
AP001059.1,-18.602203,,,,,,
AP001059.2,1.0974764,,,,,,
AP001059.3,-21.083685,,,,,,
AP001062.1,0.31284463,,,,,,
AP001062.2,0.0,,,,,,
AP001063.1,0.0,,,,,,
AP001065.1,-0.42407352,,,,,,
AP001065.2,0.0,,,,,,
AP001092.1,0.0,,,,,,
AP001094.1,0.0,,,,,,
AP001094.3,0.0,,,,,,
AP001099.1,0.0,,,,,,
AP001107.1,1.0399615,,,,,,
AP001107.2,0.029350564,,,,,,
AP001107.3,0.0,,,,,,
AP001107.4,-1.737924,,,,,,
AP001107.6,0.0,,,,,,
AP001107.7,-17.965096,,,,,,
AP001107.8,0.0,,,,,,
AP001107.9,1.2829269,,,,,,
AP001109.1,0.0,,,,,,
AP001116.1,0.0,,,,,,
AP001117.1,0.0,,,,,,
AP001120.1,0.0,,,,,,
AP001120.2,0.0,,,,,,
AP001136.1,0.0,,,,,,
AP001150.1,0.0,,,,,,
AP001157.1,-0.5863645,,,23.773457,,,
AP001160.1,-1.5070605,,,0.9925274,,,
AP001160.2,-0.24653168,,,,,,
AP001160.3,-1.3535953,,,,,,
AP001172.1,0.0,,,,,,
AP001172.2,0.0,,,,,,
AP001178.2,-16.765255,,,,,,
AP001178.3,-15.938218,,,,,,
AP001180.1,0.0,,,,,,
AP001180.2,0.0,,,,,,
AP001180.4,0.0,,,,,,
AP001189.1,-16.796555,,,,,,
AP001189.3,-17.588198,,,,,,
AP001189.4,0.0,,,,,,
AP001189.5,-0.7146036,,,,,,
AP001189.6,1.615617,,,,,,
AP001198.1,0.0,,,,,,
AP001198.2,0.0,,,,,,
AP001205.1,0.0,,,,,,
AP001207.3,0.0,,,,,,
AP001208.1,0.0,,,,,,
AP001208.2,0.0,,,,,,
AP001257.1,0.0,,,,,,
AP001266.1,-21.232294,,,,,,
AP001266.2,0.0,,,,,,
AP001267.1,-19.528145,,,,,,
AP001267.2,0.09836866,,,,,,
AP001267.3,-0.3458353,,,,,,
AP001269.1,-16.668919,,,,,,
AP001269.2,-19.281311,,,,,,
AP001269.4,0.15339829,,,,,,
AP001273.2,-16.431438,,,,,,
AP001318.1,0.0,,,,,,
AP001318.2,0.47582707,,,,,,
AP001330.1,0.04372742,,,,,,
AP001330.2,0.0,,,,,,
AP001330.5,2.7880495,,,,,,
AP001341.1,18.096073,,,,,,
AP001347.1,-2.1169705,,,2.7583752,,,
AP001350.1,-0.42181352,,,,,,
AP001351.1,0.76572806,,,,,,
AP001360.1,0.0,,,,,,
AP001360.2,0.0,,,,,,
AP001363.1,0.0,,,,,,
AP001363.2,-0.11515358,,,,,,
AP001372.1,0.0,,,,,,
AP001372.3,-15.846902,,,,,,
AP001381.1,0.0,,,,,,
AP001412.1,1.5013579,,,,,,
AP001432.1,1.6285249,,,,,,
AP001434.1,0.16956908,,,,,,
AP001437.1,-1.780962,,,,,,
AP001439.1,0.0,,,,,,
AP001453.1,0.04260999,,,,,,
AP001453.2,2.6662002,,,,,,
AP001453.4,-1.5559866,,,,,,
AP001458.1,0.0,,,,,,
AP001458.2,0.0,,,,,,
AP001462.1,-0.3134093,,,,,,
AP001464.1,0.0,,,,,,
AP001468.1,-19.111803,,,,,,
AP001469.1,0.0,,,,,,
AP001469.2,-16.56938,,,,,,
AP001469.3,-1.5174748,,,,,,
AP001471.1,-0.64549917,,,,,,
AP001476.1,-0.38213778,,,,,,
AP001476.2,-18.01538,,,,,,
AP001476.3,0.91536754,,,,,,
AP001496.1,-16.141651,,,,,,
AP001496.2,-15.44371,,,,,,
AP001505.1,0.94977665,,,,,,
AP001527.1,1.2521124,,,,,,
AP001527.2,0.030549435,,,,,,
AP001528.1,-1.6934308,,,,,,
AP001528.2,-2.4163725,,,23.93532,,,
AP001542.3,0.0,,,,,,
AP001547.1,0.0,,,,,,
AP001554.1,0.0,,,,,,
AP001574.1,-18.69473,,,,,,
AP001595.1,0.0,,,,,,
AP001596.1,-18.04996,,,,,,
AP001596.2,17.99599,,,,,,
AP001599.1,0.0,,,,,,
AP001604.1,-18.077951,,,,,,
AP001605.1,1.8955216,,,,,,
AP001610.1,0.0,,,,,,
AP001610.2,-17.270351,,,,,,
AP001615.1,0.0,,,,,,
AP001619.2,-20.276955,,,,,,
AP001625.2,0.0,,,,,,
AP001626.1,-18.011383,,,,,,
AP001627.1,-1.1690009,,,,,,
AP001628.1,0.0,,,,,,
AP001628.2,-16.440302,,,,,,
AP001630.1,0.0,,,,,,
AP001631.1,0.0,,,,,,
AP001636.3,0.0,,,,,,
AP001646.3,0.0,,,,,,
AP001652.1,0.0,,,,,,
AP001767.3,0.0,,,,,,
AP001775.2,-16.8278,,,,,,
AP001781.1,0.0,,,,,,
AP001781.2,0.0,,,,,,
AP001782.1,0.0,,,,,,
AP001783.1,0.30575472,,,,,,
AP001790.1,-16.592577,,,,,,
AP001793.2,0.0,,,,,,
AP001803.2,0.0,,,,,,
AP001816.1,-0.14414322,,,,,,
AP001825.1,-19.737776,,,,,,
AP001830.1,-1.8718047,,,,,,
AP001830.2,0.0,,,,,,
AP001831.1,0.0,,,,,,
AP001893.1,-0.56886107,,,,,,
AP001893.3,-16.673817,,,,,,
AP001922.1,0.0,,,,,,
AP001922.5,-0.56428355,,,,,,
AP001931.1,0.0,,,,,,
AP001961.1,0.0,,,,,,
AP001970.1,0.0,,,,,,
AP001972.1,-17.327097,,,,,,
AP001972.2,-16.221094,,,,,,
AP001972.3,3.0835066,,,,,,
AP001972.4,0.0,,,,,,
AP001978.1,-16.319921,,,,,,
AP001979.2,0.0,,,,,,
AP001993.1,0.0,,,,,,
AP001999.1,1.6439334,,,,,,
AP001999.2,0.0,,,,,,
AP001999.3,0.0,,,,,,
AP002008.1,0.0,,,,,,
AP002026.1,-1.2789896,,,,,,
AP002075.1,0.0,,,,,,
AP002336.2,17.818367,,,,,,
AP002336.3,0.0,,,,,,
AP002340.1,0.0,,,,,,
AP002347.1,0.0,,,,,,
AP002358.1,0.0,,,,,,
AP002360.1,-0.36925706,,,,,,
AP002360.2,-17.877834,,,,,,
AP002360.3,-1.6025945,,,,,,
AP002370.2,0.0,,,,,,
AP002373.1,-19.724184,,,,,,
AP002383.2,0.0,,,,,,
AP002387.2,1.4419823,,,,,,
AP002409.1,-18.289717,,,,,,
AP002414.5,0.0,,,,,,
AP002428.1,0.0,,,,,,
AP002433.1,-1.2181097,,,,,,
