gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
AC002094.3,0.0,,,,,,
AC002101.1,0.0,,,,,,
AC002115.1,0.0,,,,,,
AC002116.2,1.150739,,,,,,
AC002127.2,0.0,,,,,,
AC002128.2,0.0,,,,,,
AC002306.1,-18.053486,,,,,,
AC002310.1,-0.7543409,,,,,,
AC002310.2,0.74858934,,,,,,
AC002310.4,0.0,,,,,,
AC002310.5,0.0,,,,,,
AC002347.1,-16.486359,,,,,,
AC002347.2,0.0,,,,,,
AC002351.1,0.0,,,,,,
AC002368.1,0.0,,,,,,
AC002375.1,-19.120287,,,,,,
AC002378.1,-16.512308,,,,,,
AC002383.1,0.0,,,,,,
AC002384.1,18.174849,,,,,,
AC002386.1,-16.56938,,,,,,
AC002398.1,0.0,,,,,,
AC002398.2,-2.1225886,,,,,,
AC002401.1,0.0,,,,,,
AC002401.2,0.0,,,,,,
AC002401.3,-17.013393,,,,,,
AC002401.4,19.596327,,,,,,
AC002428.1,0.0,,,,,,
AC002428.2,-20.690468,,,,,,
AC002429.2,-18.497593,,,,,,
AC002451.1,-22.474165,,,,,,
AC002454.1,3.5756524,,,,,,
AC002456.1,-3.266476,,,,,,
AC002463.1,0.0,,,,,,
AC002464.1,0.0,,,,,,
AC002465.1,0.0,,,,,,
AC002467.1,-0.10291425,,,,,,
AC002470.1,0.7802916,,,,,,
AC002472.1,0.0,,,,,,
AC002480.2,19.310528,,,,,,
AC002480.3,-17.993578,,,,,,
AC002480.4,0.0,,,,,,
AC002511.1,0.0,,,,,,
AC002511.2,0.0,,,,,,
AC002546.1,-20.840492,,,,,,
AC002550.1,-19.152576,,,,,,
AC002550.2,-0.5747027,,,,,,
AC002553.1,-0.008430365,,,,,,
AC002553.2,-0.0078054736,,,,,,
AC002558.2,3.8427467,,,,,,
AC002563.1,1.3410821,,,,,,
AC002985.1,0.0,,,,,,
AC002996.1,0.0,,,,,,
AC003001.1,0.0,,,,,,
AC003002.1,0.0,,,,,,
AC003002.2,0.0,,,,,,
AC003002.3,-16.287575,,,,,,
AC003005.1,0.0,,,,,,
AC003005.2,0.0,,,,,,
AC003006.1,-18.190641,,,,,,
AC003009.1,0.0,,,,,,
AC003035.1,0.0,,,,,,
AC003035.2,0.0,,,,,,
AC003043.1,0.0,,,,,,
AC003043.2,-17.591297,,,,,,
AC003070.1,0.0,,,,,,
AC003070.2,-16.480587,,,,,,
AC003084.1,-17.629847,,,,,,
AC003087.1,0.0,,,,,,
AC003092.1,1.0583054,,,,,,
AC003092.2,-17.44655,,,,,,
AC003098.1,-17.088322,,,,,,
AC003101.1,0.0,,,,,,
AC003101.2,0.17664503,,,,,,
AC003102.1,-0.8033856,,,,,,
AC003666.1,0.0,,,,,,
AC003681.1,1.444332,,,,,,
AC003682.1,-17.721498,,,,,,
AC003684.1,-18.625078,,,,,,
AC003685.1,0.0,,,,,,
AC003688.1,0.0,,,,,,
AC003688.2,0.0,,,,,,
AC003956.1,-3.6813576,,,,,,
AC003958.2,0.0,,,,,,
AC003965.1,-0.5064213,,,,,,
AC003965.2,0.0,,,,,,
AC003973.1,0.0,,,,,,
AC003973.2,0.0,,,,,,
AC003975.1,0.0,,,,,,
AC003982.1,0.0,,,,,,
AC003984.1,-16.347986,,,,,,
AC003985.1,-17.111996,,,,,,
AC003985.2,0.37904707,,,,,,
AC003986.1,-19.974514,,,,,,
AC003986.2,-1.3050958,,,,,,
AC003986.3,-2.0693784,,,,,,
AC003988.1,-16.76912,,,,,,
AC003991.1,-20.390387,,,,,,
AC003991.2,-17.216486,,,,,,
AC004009.1,-16.822233,,,,,,
AC004012.1,-16.433718,,,,,,
AC004014.1,0.0,,,,,,
AC004023.1,-16.839563,,,,,,
AC004034.1,0.0,,,,,,
AC004039.1,0.0,,,,,,
AC004052.1,0.0,,,,,,
AC004053.1,0.0,,,,,,
AC004054.1,0.0,,,,,,
AC004063.1,0.0,,,,,,
AC004066.2,0.0,,,,,,
AC004067.1,-1.5000232,,,,,,
AC004069.1,-0.5783744,,,,,,
AC004076.1,0.0,,,,,,
AC004076.2,-0.35354343,,,,,,
AC004080.1,0.0,,,,,,
AC004080.2,-16.08148,,,,,,
AC004080.3,0.0,,,,,,
AC004112.1,0.0,,,,,,
AC004130.1,-0.5836204,,,23.842493,,,
AC004147.2,0.0,,,,,,
AC004147.3,0.0,,,,,,
AC004148.1,0.0,,,,,,
AC004148.2,0.9042711,,,22.645996,,,
AC004149.1,0.0,,,,,,
AC004156.1,-1.8965505,,,,,,
AC004158.1,0.0,,,,,,
AC004160.2,-0.5490527,,,,,,
AC004217.1,0.0,,,,,,
AC004221.1,0.0,,,,,,
AC004223.2,-18.62096,,,,,,
AC004223.3,0.0,,,,,,
AC004223.4,-18.988087,,,,,,
AC004231.1,0.020635156,,,,,,
AC004231.3,0.0,,,,,,
AC004232.2,0.0,,,,,,
AC004233.2,-16.625933,,,,,,
AC004233.3,-16.981028,,,,,,
AC004233.4,-19.32895,,,,,,
AC004241.1,-0.79256874,,,,,,
AC004241.2,-18.394035,,,,,,
AC004253.1,0.0,,,,,,
AC004253.2,0.0,,,,,,
AC004257.1,0.4685573,,,,,,
AC004263.1,-17.392096,,,,,,
AC004264.1,-17.200415,,,,,,
AC004381.1,0.0,,,,,,
AC004408.1,-16.96948,,,,,,
AC004415.1,0.0,,,,,,
AC004448.1,0.0,,,,,,
AC004448.2,1.6157401,,,,,,
