gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
CTHRC1,89.07535,3.4971335,0.0,0.0,0.8270361041141897,0.3028983846946958,0.5241377194194938
PPIB,86.851204,2.9262285,0.0,0.0,0.8448973360812152,0.3948905945698247,0.4500067415113905
POSTN,86.30506,4.1818757,0.0,0.0,0.7489122967712388,0.18444266238973536,0.5644696343815034
COL1A1,83.70237,2.96253,0.0,0.0,0.9660712922677658,0.7815328216290526,0.1845384706387132
COL3A1,78.16119,2.6111932,0.0,0.0,0.9547362796733074,0.7457898957497995,0.20894638392350795
COL1A2,76.831085,2.2377632,0.0,0.0,0.9581711319746584,0.8334288005498912,0.1247423314247672
ASPN,75.99241,3.901681,0.0,0.0,0.645485077475002,0.14537747737426968,0.5001076001007323
SPARC,71.2436,2.5470583,0.0,0.0,0.9438974124112663,0.677053499828159,0.26684391258310736
MDK,71.19785,3.8453684,0.0,0.0,0.589840470193115,0.10654141367854279,0.4832990565145722
PRDX4,70.94961,3.199019,0.0,0.0,0.6448362720403022,0.18467178370947418,0.46016448833082807
LGALS1,68.384895,1.5667682,0.0,0.0,0.9177925349209984,0.7617138274716463,0.15607870744935215
FN1,67.64747,2.545209,0.0,0.0,0.7427677276543775,0.3644174590445641,0.3783502686098134
COL5A2,67.44793,2.428573,0.0,0.0,0.7467368903137165,0.34895176996219496,0.3977851203515215
HTRA1,65.89124,2.357696,0.0,0.0,0.7686054499656515,0.3771336922900676,0.3914717576755839
SFRP2,62.64428,2.1904056,0.0,0.0,0.8486375085871307,0.5560774430060718,0.29256006558105896
SERF2,62.068733,1.7337574,0.0,0.0,0.8903518815357606,0.6197731698934585,0.27057871164230207
COL6A1,61.421394,1.7001387,0.0,0.0,0.9042821158690176,0.6817504868828045,0.22253162898621315
PPIC,61.41395,2.4649029,0.0,0.0,0.6525837722311274,0.24664910069882,0.4059346715323074
PRSS23,60.28952,3.5991728,0.0,0.0,0.5057629188611557,0.08534769160270363,0.42041522725845204
FTL,59.82671,1.104896,0.0,0.0,0.9713762308220747,0.9078932294650017,0.06348300135707297
CD63,58.578842,1.5747106,0.0,0.0,0.8778337531486146,0.6259594455264063,0.2518743076222083
PCOLCE,58.480156,2.0386055,0.0,0.0,0.7425005724753836,0.3805705120861496,0.361930060389234
