gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
POSTN,40.647984,4.2948456,0.0,0.0,0.9952290076335878,0.5707491082045184,0.4244798994290694,True,False
FN1,40.47804,2.8433356,0.0,0.0,0.9980916030534351,0.8470868014268728,0.15100480162656238,True,False
LGALS1,38.41341,1.4129777,0.0,0.0,1.0,0.9964328180737217,0.003567181926278251,True,False
ADAM12,37.075706,2.7825687,6.921268042358439e-301,5.8031371901154326e-297,0.9293893129770993,0.3895362663495838,0.5398530466275154,True,True
TPM2,35.451267,2.134004,2.7730090795749003e-275,1.3285882644397572e-271,0.9532442748091603,0.6799048751486326,0.27333939966052767,False,False
COL12A1,35.1501,2.4041142,1.1583139633673295e-270,4.3163926337126105e-267,0.9732824427480916,0.6147443519619501,0.3585380907861415,True,False
COL5A1,33.865906,1.7331866,2.116888372366488e-251,5.071157302316233e-248,0.9961832061068703,0.8449464922711059,0.15123671383576442,True,False
ASPN,33.115208,2.9961889,1.7954726464781099e-240,3.763535101098928e-237,0.9723282442748091,0.5521997621878716,0.42012848208693754,True,False
PPP1R14B,32.36149,1.6349096,9.562498912426963e-230,1.4577594932953431e-226,0.9608778625954199,0.7312722948870393,0.2296055677083806,False,False
MDK,32.041164,1.8798255,2.914672724322038e-225,4.073012242846355e-222,0.9885496183206107,0.8092746730083235,0.17927494531228727,True,False
TGFBI,31.330544,2.6053119,1.7912940107486128e-215,2.145586376160249e-212,0.8377862595419847,0.36076099881093937,0.47702526073104534,True,False
COL11A1,31.28986,3.1498263,6.410959313954246e-215,7.41416391280681e-212,0.7719465648854962,0.19833531510107016,0.573611249784426,True,False
COL6A1,31.143238,1.2072332,6.262529467699923e-213,7.001090442924e-210,1.0,0.9907253269916766,0.009274673008323409,True,False
SPON2,31.035124,1.9292012,1.8113581355746504e-211,1.959655779061375e-208,0.9675572519083969,0.7165279429250891,0.2510293089833078,True,False
COL5A2,30.592932,1.5917963,1.5197686256732604e-205,1.5445454596312064e-202,0.9971374045801527,0.9003567181926279,0.0967806863875248,True,False
PDLIM7,30.580183,2.1712432,2.24547378373367e-205,2.214961757613524e-202,0.8501908396946565,0.37764565992865634,0.47254517976600013,False,False
SDC1,30.134806,2.5034494,1.6965519887858688e-199,1.625684588568585e-196,0.7843511450381679,0.2473246135552913,0.5370265314828766,True,True
BGN,29.661676,1.9550574,2.3979343329902216e-193,2.173565450265569e-190,0.9837786259541985,0.7331747919143876,0.2506038340398109,True,False
LOXL2,29.63018,2.472269,6.10683190359378e-193,5.38976127322969e-190,0.7853053435114504,0.272294887039239,0.5130104564722114,True,False
CERCAM,29.117758,1.455103,2.1395828009851803e-186,1.7501787312058775e-183,0.9637404580152672,0.7350772889417361,0.22866316907353113,False,False
EDIL3,28.975119,2.0330796,1.3545766205184122e-184,1.0816616833082503e-181,0.8549618320610687,0.3745541022592152,0.4804077298018535,True,False
TAGLN,28.6965,2.8656187,4.218865926830697e-181,3.290519196605766e-178,0.8015267175572519,0.34863258026159333,0.4528941372956586,False,False
ATOX1,28.160173,1.2999022,1.79889486932324e-174,1.3406963583858407e-171,0.9637404580152672,0.7341260404280618,0.22961441758720535,False,False
SULF2,28.118933,1.7403673,5.749505883385037e-174,4.102700602488668e-171,0.8912213740458015,0.4689655172413793,0.4222558568044222,True,False
CALD1,27.945879,0.9209424,7.398054659203796e-172,5.169082440841186e-169,0.9952290076335878,0.9888228299643281,0.006406177669259661,False,False
MMP14,27.74142,1.6342003,2.211511620663201e-169,1.513666872118417e-166,0.9446564885496184,0.6623067776456599,0.28234971090395844,False,True
FABP5,27.4739,2.3691208,3.60094332446138e-166,2.4153687443157152e-163,0.7767175572519084,0.31153388822829964,0.46518366902360875,False,False
MFAP2,27.368505,1.5663347,6.504377055335502e-165,4.277329366310629e-162,0.941793893129771,0.6,0.34179389312977104,True,False
NT5DC2,27.353958,1.943009,9.68945358323051e-165,6.249324889892017e-162,0.8091603053435115,0.37479191438763376,0.4343683909558777,False,False
FKBP10,26.961876,1.296429,4.139900314628894e-160,2.4793567277147115e-157,0.9522900763358778,0.7410225921521998,0.21126748418367802,False,False
COL8A1,26.949116,2.4412298,5.842164544614705e-160,3.437447622759438e-157,0.7270992366412213,0.22425683709869204,0.5028423995425293,True,False
SPARC,26.930664,1.7056254,9.610627749530355e-160,5.557262645926708e-157,1.0,0.9847800237812129,0.015219976218787123,True,False
ITGB1,26.861092,1.050092,6.259294822285233e-159,3.558037792369528e-156,0.9704198473282443,0.9079667063020214,0.0624531410262229,False,True
COL1A1,26.707376,1.8792875,3.8641482484708245e-157,2.124521376347779e-154,1.0,0.9983353151010702,0.0016646848989297913,True,False
SEC61G,26.695187,1.0322306,5.353301486567011e-157,2.895790729943297e-154,0.9742366412213741,0.8934601664684899,0.08077647475288419,False,True
COL16A1,26.613092,1.5378888,4.78901971255219e-156,2.549430843167863e-153,0.9484732824427481,0.633769322235434,0.31470396020731406,True,False
SULF1,26.612217,2.3552997,4.902199956112269e-156,2.5689059707514575e-153,0.7356870229007634,0.2558858501783591,0.4798011727224043,True,False
