gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
PPP1R14B,56.622513,4.9971313,0.0,0.0,0.9172991363517404,0.20678438661710039,0.71051474973464
GAPDH,56.266438,2.1049175,0.0,0.0,0.9963360376864695,0.9860594795539034,0.010276558132566116
NME2,54.804855,1.7646934,0.0,0.0,0.9939806333420571,0.9716542750929368,0.022326358249120326
MIF,54.1865,1.8196863,0.0,0.0,0.9903166710285266,0.9618959107806692,0.028420760247857446
PPIB,54.086105,1.9255426,0.0,0.0,0.9911018058099974,0.9660780669144982,0.025023738895499248
S100A11,53.665928,1.7727925,0.0,0.0,0.9945040565297043,0.9697955390334573,0.02470851749624703
MAP2K2,53.59156,3.290422,0.0,0.0,0.9078775189740905,0.25092936802973975,0.6569481509443508
BRI3,53.32106,2.3174765,0.0,0.0,0.969379743522638,0.5892193308550185,0.38016041266761946
ARPC1B,53.275795,2.646222,0.0,0.0,0.9405914682020413,0.5952602230483272,0.34533124515371416
TMSB10,52.035522,1.371507,0.0,0.0,0.9989531536247056,0.9972118959107806,0.0017412577139249708
RPL28,51.63756,0.8810409,0.0,0.0,0.9992148652185292,1.0,-0.0007851347814707976
P4HB,51.420788,2.2632134,0.0,0.0,0.9672860507720492,0.8090148698884758,0.1582711808835734
RPS2,50.831753,1.1432778,0.0,0.0,0.9992148652185292,0.9976765799256505,0.0015382852928786939
SERF2,50.76131,1.3615329,0.0,0.0,0.9963360376864695,0.9879182156133829,0.008417822073086612
RAC1,50.630047,1.583486,0.0,0.0,0.9822036116199948,0.8420074349442379,0.1401961766757569
SRM,50.52807,3.8294442,0.0,0.0,0.8544883538340748,0.1970260223048327,0.6574623315292422
PRELID1,50.0904,2.496882,0.0,0.0,0.9264590421355666,0.49767657992565056,0.42878246220991606
PFN1,49.832443,1.6825545,0.0,0.0,0.9822036116199948,0.9186802973977695,0.06352331422222535
YBX1,49.258514,1.6632767,0.0,0.0,0.9903166710285266,0.925185873605948,0.06513079742257866
ENO1,48.56684,2.0267718,0.0,0.0,0.9704265898979325,0.8610594795539034,0.10936711034402913
OST4,48.33089,1.5935074,0.0,0.0,0.974090552211463,0.8880111524163569,0.08607939979510615
PKM,48.258564,2.0378742,0.0,0.0,0.9560324522376341,0.796003717472119,0.16002873476551516
CTHRC1,48.05247,3.6490371,0.0,0.0,0.8751635697461397,0.33224907063197023,0.5429144991141694
SEC61B,47.926918,1.5188531,0.0,0.0,0.9759225333682282,0.9065985130111525,0.06932402035707574
SSR4,47.748123,1.5897485,0.0,0.0,0.9714734362732269,0.8596654275092936,0.11180800876393326
SPHK1,47.701283,4.794924,0.0,0.0,0.7827793771264067,0.09061338289962825,0.6921659942267784
AP2S1,47.602707,2.1408336,0.0,0.0,0.9152054436011515,0.6008364312267658,0.31436901237438575
TPM4,47.52874,1.6320513,0.0,0.0,0.9829887464014656,0.9247211895910781,0.05826755681038753
LGALS1,47.52518,1.6233397,0.0,0.0,0.9955509029049987,0.9930297397769516,0.002521163128047066
S100A8,47.264965,5.545116,0.0,0.0,0.7558230829625753,0.017193308550185873,0.7386297744123894
OSTC,47.25775,1.8343792,0.0,0.0,0.9466108348599843,0.7574349442379182,0.18917589062206608
FKBP11,47.16961,2.9841847,0.0,0.0,0.8563203349908401,0.35734200743494426,0.4989783275558959
