gene,k_mean,n_mean,delta,log_ratio,specificity,cohens_d,zsum,borda_rank
SSTR5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTCSC2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTCSC3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTF1A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAB41,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAB4B-EGLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPO11,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAD21L1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAG2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAI1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINT4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAB30-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINK8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINK6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINK4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINK14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAPGEF4-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINK13,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RARRES3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RARS,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPINK7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPRR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPRR2B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPRR2F,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTGES3L-AARSD1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTH,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SRMS,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTPRCAP,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SRGAP3-AS3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTPRD-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PTPRJ-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PWAR6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PWRN1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PWRN2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PWRN4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPZ1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
QARS,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
QRFPR,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
R3HDML,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPRR3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RAB19,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SPERT,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SSX1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RPH3A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SOX14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SKIV2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SKOR2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLFN14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC10A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC12A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC12A5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC13A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SKAP1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC13A5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC16A12-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLCO6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC17A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC17A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC17A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC17A4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC17A6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC15A5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLCO1B3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIX6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLIT1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SH2D7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMC2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SHANK2-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMAD1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIAH3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIX3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIDT1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIGLEC14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIGLEC5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIGLEC8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIGLECL1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIRPD,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIRPG-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLITRK1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SIGLEC12,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLCO1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLCO1A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC9C2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC6A5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC6A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC6A19,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC35D3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC6A18,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC35E2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC35F3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC34A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC6A14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC35G6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC36A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC6A1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC5A7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC5A4-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC39A12-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC4A10,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC35G3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC34A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC30A8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC2A7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC22A24,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC22A25,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC22A6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC22A7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC22A8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC9A9-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC9A9-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC25A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC9A4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC25A31,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC25A47,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC25A52,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC26A10,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC26A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC28A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC7A13,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SLC2A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SH2D1B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RPL17-C18orf32,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SGK494,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SFTPB,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SAA4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SAGE1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SALL3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SAMD12-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SAMD7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SAMSN1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SNCB,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SAA2-SAA4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SARS,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCEL-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SNAP47-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCGB1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCGB1D4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCGB3A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCGN,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCN10A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SBK2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCNN1G,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
S100Z,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
S100A7A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RPL34-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RPL36A-HNRNPH2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SOWAHB,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SORCS3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RPS4Y2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RPS6KA2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
S100G,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RTL4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RTP1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RTP2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RTP5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RUVBL1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RXFP2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SNTN,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
RTEL1-TNFRSF6B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCP2D1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SCRT1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMYD1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT4-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT7-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SERPINA7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SERPINB10,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SERPINB11,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMCP,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SFTA3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SFTPA1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SFTPA2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT9,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT12,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT11,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SDCCAG3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMTNL1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMR3B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMR3A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMPDL3B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMIM9,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMIM28,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMIM24,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMIM21,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMIM18,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEMA5A-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEMG1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEMG2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SENP3-EIF4A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SEPT10,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SMCO1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
LINC02160,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SSX2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
SSX2B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
ORM1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
ORM2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TBC1D26,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TBC1D21,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OSTM1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOF,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TBC1D28,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOG,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOP1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOP2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOP3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOR,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTP,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTX2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTX2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OTOL1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OVAAL,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
ORAOV1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR9Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6C76,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6J1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6N1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6N2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6P1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6V1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR7A10,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TBC1D29,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR7D4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR7G2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR8B8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR8D4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR8G1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR8G5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR8S1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR9A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR7E24,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OVCH2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TBATA,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
P2RX2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAGE2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAGE2B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAGE4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAGE5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAH,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PALM2-AKAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PADI6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PANDAR,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAPD4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAPD5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PAPD7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TARSL2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TARS,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PANX3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PADI1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PACRG-AS3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PACRG-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
P2RX3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
P2RX5-TAX1BP3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
P2RY4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R9,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R8,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R7,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R43,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R40,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
P4HA3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R39,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PABPC1L2A,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PABPC1L2B,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PABPC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TAS2R3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PABPN1L,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
PACRG-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6C6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
TARM1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6C4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6C1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2AE1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2AJ1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2AK2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2AP1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2B6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2C3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2A25,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2D2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2G6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2K2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2L13,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2L3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2L5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2M2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2M3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2D3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2T10,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2A14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1N2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR13C2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR13C3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR13C4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR13C5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR13C9,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR13G1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR14C36,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2A12,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR14I1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1E1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1E2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1J4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1L3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1L4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1L6,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1M1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR1D2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2T12,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2T27,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2T29,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR52N5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR56A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR56A3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR56A4,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR56A5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR56B1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5A1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR52N2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5B12,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5B21,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5H14,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5H15,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5K1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5V1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6A2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR6B3,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR5B2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR52K1,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR52I2,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR52E5,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2T33,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
OR2T35,0.0,0.0,0.0,0.0,0.0,0.0,0.16388218,11945
