gene,k_mean,n_mean,delta,log_ratio,specificity,cohens_d,zsum,borda_rank
IMPDH1,0.03488742,0.014743904,0.020143514,1.1886848,0.7029315,0.17252374,2.41078,474
MRPS6,0.068427175,0.03474767,0.033679504,0.9576514,0.66321564,0.2522244,2.1131253,475
SEMA3A,0.08736558,0.046070512,0.04129507,0.90866107,0.65473723,0.10669047,2.0878193,476
C1QL1,0.011109335,0.00073933747,0.0103699975,2.7995098,0.93760157,0.08707298,5.1602373,477
SUB1,0.26460218,0.15527312,0.10932906,0.7651973,0.6301923,0.37221184,2.3781178,477
IGFBP3,0.72787666,0.444208,0.28366867,0.7111953,0.6210103,0.1866054,3.672504,479
HILPDA,0.06387767,0.032122806,0.031754866,0.9698973,0.6653891,0.1316154,2.1192834,480
POMC,0.013498228,0.0023502053,0.0111480225,2.1135552,0.8517073,0.1335729,3.962443,481
AP2S1,0.24392007,0.14284071,0.10107936,0.76783895,0.6306743,0.32328728,2.3170195,482
ABCC4,0.014608998,0.0030732183,0.01153578,1.9381369,0.8261971,0.15182227,3.6576374,483
CNTNAP3B,0.019506631,0.0060102846,0.013496347,1.5485456,0.7644588,0.06995456,2.989445,483
RASGRP3,0.037423678,0.01638394,0.021039737,1.1442405,0.69550896,0.056288473,2.3399122,485
SAYSD1,0.09662467,0.052168194,0.04445648,0.87668234,0.6493905,0.12170552,2.0568805,486
HHIPL1,0.04156066,0.0191491,0.02241156,1.0788051,0.68457955,0.0768188,2.2359903,487
MIAT,0.011232287,0.0010398956,0.010192391,2.584127,0.91526395,0.16135569,4.7807803,488
NEFH,0.02453703,0.009157334,0.015379696,1.330069,0.72822356,0.08687556,2.6209798,489
PRELID1,0.05651736,0.028149353,0.028368006,0.9805335,0.6675275,0.30949727,2.110965,490
RARRES2,1.2460076,0.7749187,0.4710889,0.6844929,0.6165527,0.3964406,5.119035,491
IFITM3,1.5098819,0.9433343,0.5665476,0.67802143,0.6154704,0.44966114,5.8683085,492
MSANTD3,0.06082881,0.030831931,0.029996878,0.95780444,0.66362995,0.16793714,2.08405,493
RCBTB2,0.05762408,0.02886101,0.028763069,0.97323036,0.6662892,0.10269062,2.1012945,494
COL6A1,6.7441797,4.251216,2.4929638,0.665642,0.613364,0.7149016,21.196627,495
GAS2L1,0.07250623,0.037905652,0.034600575,0.91788685,0.65668863,0.13686752,2.0506694,496
FBN2,0.010046344,0.00046912357,0.00957722,2.9105413,0.9553872,0.1276706,5.348804,497
PDE3A,0.04442465,0.021224797,0.023199853,1.0313051,0.6766949,0.06332245,2.158899,498
AIMP2,0.030438421,0.012751052,0.01768737,1.1929867,0.70476484,0.13821709,2.3987598,499
PTHLH,0.035483804,0.015738305,0.019745499,1.1241027,0.6927439,0.092039905,2.2942533,501
UROS,0.053907763,0.02693862,0.026969144,0.9747493,0.6667925,0.21556012,2.0896664,501
KCNAB3,0.019561501,0.0063782614,0.01318324,1.4785928,0.75411254,0.067320555,2.8641682,501
GOLIM4,0.2557899,0.15298182,0.10280809,0.7378284,0.62575245,0.27465132,2.2781193,503
ST6GALNAC5,0.010533422,0.00091268215,0.00962074,2.5921516,0.9202626,0.06176099,4.7903104,504
FHL2,0.0916261,0.049782183,0.041843917,0.8670964,0.6479543,0.15529202,2.019238,504
GPC6,0.028056836,0.011428339,0.016628496,1.225244,0.71056634,0.13859566,2.4469407,506
RIN2,0.14365135,0.082044564,0.061606787,0.80062217,0.6364819,0.16157843,2.060036,507
ENG,0.47781748,0.29320854,0.18460894,0.70263666,0.6197164,0.15630683,2.868155,508
KBTBD11,0.040746365,0.019073423,0.021672942,1.0563638,0.6811519,0.07924298,2.1907156,509
SELENON,0.08430988,0.045495607,0.038814276,0.8756186,0.6495094,0.11937726,2.0100553,510
LOX,1.6810697,1.0611683,0.6199014,0.66322505,0.61302835,0.35831195,6.267472,511
TLCD1,0.016300902,0.004574823,0.011726079,1.6338493,0.7808543,0.12971169,3.1250648,512
FAM50A,0.07803623,0.04183797,0.036198255,0.883624,0.65098435,0.2163437,2.0032616,513
GLRX2,0.044996675,0.02182118,0.023175495,1.0111561,0.6734229,0.15526085,2.1233392,514
DPT,6.388678,4.079149,2.3095293,0.64712155,0.6103156,0.44633567,19.702478,515
NDUFB11,0.2504515,0.15056206,0.09988944,0.7303715,0.62454623,0.29447743,2.2417746,516
C6orf141,0.028169585,0.011740987,0.016428597,1.1949878,0.7058176,0.03867525,2.3922417,517
POLR3H,0.04478551,0.021816177,0.022969333,1.0048339,0.6724381,0.14700925,2.1105998,517
PRR7,0.023144417,0.008868451,0.014275965,1.290794,0.7229723,0.11588328,2.5432491,519
LGMN,0.0799829,0.043263543,0.036719356,0.87149847,0.6489672,0.23536557,1.986131,520
SCT,0.010453355,0.0011496725,0.009303682,2.4135814,0.90091604,0.10786518,4.4743557,521
NEDD8,0.24072978,0.14489587,0.09583391,0.72845614,0.6242577,0.3376479,2.2060976,522
KCNA1,0.032074336,0.014163213,0.017911123,1.1251366,0.6936859,0.079008386,2.2814515,522
NKG7,0.01205943,0.002203576,0.009855853,2.0273368,0.84550405,0.042748716,3.8008156,524
DAPK3,0.02909501,0.01233087,0.016764142,1.1747534,0.702339,0.16185665,2.3593998,525
ABHD10,0.022810373,0.008839846,0.013970528,1.2748826,0.72070193,0.13013007,2.5128875,526
ITGA11,0.43274176,0.26792094,0.16482082,0.68965423,0.6176178,0.13509533,2.6876926,527
CKAP4,0.18030292,0.10679298,0.07350994,0.7501389,0.6280233,0.28107098,2.0662737,527
NDUFAB1,0.24981423,0.1510169,0.09879732,0.72238743,0.6232406,0.2709905,2.2190588,529
HAGLR,0.0121196,0.002302356,0.009817244,1.990156,0.84035754,0.075911365,3.735248,531
MLEC,0.07094422,0.03801566,0.03292856,0.8828256,0.65110403,0.25882527,1.9758067,531
PDGFA,0.09297809,0.0516717,0.04130639,0.8352966,0.64278066,0.101876035,1.9591395,531
