source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,condition
Fibroblast,Keratinocyte,LUM,ITGB1,1.6034652,0.0,1.3523856,0.5032848072269647,0.9167772832151091,0.049669605,0.93975073,0.5390799894141668,0.06141854462539081,Keloid
Fibroblast,Pericyte_SMC,VCAN,ITGB1,1.4649322,0.0,2.1195202,0.7393195629796392,1.5593457347983841,0.15044004,0.951283,0.07762764502292402,0.06285030888732142,Keloid
Fibroblast,Pericyte_SMC,TIMP2,ITGB1,1.4623902,0.0,2.111245,0.623381542141662,1.233813500243241,0.11155905,0.95119226,0.07762764502292402,0.063330984314616,Keloid
Myeloid,Endothelial,LGALS1,ITGB1,1.4611318,0.0,1.9220059,0.04987363138337028,-0.17925257763682656,0.03098291,0.94896567,1.0,0.06381336948326402,Keloid
T_cell,Pericyte_SMC,LGALS1,ITGB1,1.4280126,0.03,1.9993294,0.0929334945896321,0.08033080676810034,0.03222938,0.9499123,1.0,0.07023934797336386,Keloid
Fibroblast,Fibroblast,VCAN,ITGB1,1.4215822,0.0,2.006626,0.7051570095267284,1.3470836150565217,0.14242698,0.9499989,0.07762764502292402,0.07176293635618938,Keloid
Fibroblast,Fibroblast,TIMP2,ITGB1,1.4190402,0.0,1.9987913,0.5892189886887511,1.0215513805013787,0.10561695,0.94990593,0.07762764502292402,0.07227417287196101,Keloid
Pericyte_SMC,Keratinocyte,LGALS1,ITGB1,1.5339658,0.0,1.2829543,0.042930463989966416,-0.32379042195805163,0.020681342,0.93824124,1.0,0.07485560676754935,Keloid
Fibroblast,Keratinocyte,TGFB3,ITGB5,0.20880541,0.0,0.04002044,0.1983425037372724,0.24369849897123075,0.08110474,0.7284963,0.41419511063248937,0.07859856706656021,Keloid
T_cell,Fibroblast,LGALS1,ITGB1,1.3846626,0.41,1.892837,0.05877094113672135,-0.13193131297376204,0.030512707,0.94859403,1.0,0.07907305300927103,Keloid
Myeloid,T_cell,LGALS1,ITGB1,1.3192775,1.0,1.3765635,-0.06191776450693339,-0.2970187638056718,0.022190329,0.9402504,1.0,0.10055003652113129,Keloid
Fibroblast,Pericyte_SMC,FBN1,ITGB1,1.3121703,0.0,1.622207,0.6560415360581047,1.3458293406451811,0.13898069,0.9446994,0.07762764502292402,0.10294759922288357,Keloid
Fibroblast,Pericyte_SMC,SPON2,ITGB1,1.2968786,0.0,1.5724254,0.713554809690718,1.4949538898728891,0.1677351,0.94387954,0.06716296290974355,0.10659215309199407,Keloid
Fibroblast,Pericyte_SMC,CLEC11A,ITGB1,1.292666,0.0,1.558711,0.6796350548046131,1.3951313053344754,0.15039642,0.9436471,0.07762764502292402,0.10905386059689777,Keloid
Fibroblast,Endothelial,FBLN1,ITGB1,1.2807109,0.0,1.561265,0.6131647836532697,1.1807288659146145,0.10902721,0.9436906,0.07762764502292402,0.11659157130155333,Keloid
Fibroblast,Fibroblast,FBN1,ITGB1,1.2688203,0.0,1.5358016,0.6218789826051939,1.1335672209033185,0.131578,0.9432521,0.07762764502292402,0.12239398523811658,Keloid
Myeloid,Myeloid,LGALS1,ITGB1,1.256607,1.0,1.13559,-0.11130640712967774,-0.5393671550894737,0.018305816,0.9346103,1.0,0.12832308805624876,Keloid
Fibroblast,Fibroblast,SPON2,ITGB1,1.2535286,0.0,1.4886715,0.6793922562378073,1.2826917701310268,0.15880083,0.94241214,0.07762764502292402,0.1289896662413353,Keloid
Fibroblast,Fibroblast,CLEC11A,ITGB1,1.2493159,0.0,1.4756876,0.6454725013517023,1.182869185592613,0.14238569,0.94217396,0.07762764502292402,0.13167140685987141,Keloid
Endothelial,Pericyte_SMC,HSPG2,ITGB1,1.2204485,0.0,1.3236086,0.5981410232193327,1.3082993010163921,0.13159584,0.93913895,0.07762764502292402,0.14194731565980914,Keloid
Fibroblast,Fibroblast,FN1,CD44,1.3992561,0.0,1.0359865,0.4357104274710183,0.854412720046305,0.05009018,0.9317486,0.5271208318066142,0.1433434343537403,Keloid
Endothelial,Pericyte_SMC,VWF,ITGB1,1.1866632,0.0,1.2136214,0.7355726836624763,1.546183711888612,0.22149093,0.93661195,0.019960621971950223,0.16950288601458727,Keloid
Pericyte_SMC,Pericyte_SMC,TIMP2,ITGB1,1.1846877,0.0,1.2071904,0.3455080539718086,0.7825777761822263,0.06378844,0.936454,0.26702270405300993,0.17101265619301448,Keloid
Myeloid,Keratinocyte,LGALS1,ITGB1,1.2110271,1.0,0.96033144,-0.14722651537848203,-0.7115893735794929,0.015480632,0.9292977,1.0,0.1748127365149255,Keloid
